DateTime,2018/8/15 19:00,,,,,,,,,,,,,,,,,,,,
BoardName,PT051_N_S4_V2_MEKTEC,,,,,,,,,,,,,,,,,,,,
BoardId,B1,,,,,,,,,,,,,,,,,,,,
BarCode,,,,,,,,,,,,,,,,,,,,,
TestStat,Fail,,,,,,,,,,,,,,,,,,,,
OpenTest,Fail,,,,,,,,,,,,,,,,,,,,
ShortTest,Pass,,,,,,,,,,,,,,,,,,,,
CompTest,Fail,,,,,,,,,,,,,,,,,,,,
TestTime,0.078 s,,,,,,,,,,,,,,,,,,,,
OpenFailCount,1,,,,,,,,,,,,,,,,,,,,
    1 - 6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CompTest:,,,,,,,,,,,,,,,,,,,,,
STEP,BX,LC,Flag,Device Name,STDval,ACTval,+%,-%,MD,RG,TM,A,B,G-1,G-2,G-3,G-4,G-5,TestVal,Dev%,Result
1,B1,A1,,¦¤V3_CH3,0.1,2.8V,23,223,WV,0,0,2,5,134,133,0,0,0,0.459,359%,Fail
2,B1,A1,,V_CH3P,1.175,2.8V,13.9,13.8,UV,0,0,134,5,2,0,0,0,0,0.039,-96.70%,Fail
3,B1,A1,,V_CH3N,1.175,2.8V,13.9,13.8,UV,0,0,133,5,2,0,0,0,0,0.008,-99.30%,Fail
4,B1,A1,,¦¤V4_CH4,0.1,2.8V,23,223,WV,0,0,2,4,132,131,0,0,0,0.109,8.50%,Pass
5,B1,A1,,V_CH4P,1.175,2.8V,13.9,13.8,UV,0,0,132,4,2,0,0,0,0,0.015,-98.80%,Fail
6,B1,A1,,V_CH4N,1.175,2.8V,13.9,13.8,UV,0,0,131,4,2,0,0,0,0,0.004,-99.70%,Fail
7,B1,A1,,¦¤V5_CH5,0.1,2.8V,23,223,WV,0,0,2,3,130,129,0,0,0,0.062,-37.90%,Pass
8,B1,A1,,V_CH5P,1.175,2.8V,13.9,13.8,UV,0,0,130,3,2,0,0,0,0,-0.017,-101%,Fail
9,B1,A1,,V_CH5N,1.175,2.8V,13.9,13.8,UV,0,0,129,3,2,0,0,0,0,-0.031,-103%,Fail
10,B1,A1,,CH3_R1,,8KO,75,62.5,CV,0,0,2,133,5,0,0,0,0,9999,999%,Fail
11,B1,A1,,CH3_R2,,8KO,25,75,CV,0,0,5,133,2,0,0,0,0,9999,999%,Fail
12,B1,A1,,CH3_R3,,8KO,75,62.5,CV,0,0,2,134,5,0,0,0,0,9999,999%,Fail
13,B1,A1,,CH3_R4,,8KO,25,75,CV,0,0,5,134,2,0,0,0,0,9999,999%,Fail
14,B1,A1,,CH4_R1,,8KO,75,62.5,CV,0,0,2,131,4,0,0,0,0,9999,999%,Fail
15,B1,A1,,CH4_R2,,8KO,25,75,CV,0,0,4,131,2,0,0,0,0,9999,999%,Fail
16,B1,A1,,CH4_R3,,8KO,75,62.5,CV,0,0,2,132,4,0,0,0,0,9999,999%,Fail
17,B1,A1,,CH4_R4,,8KO,25,75,CV,0,0,4,132,2,0,0,0,0,9999,999%,Fail
18,B1,A1,,CH5_R1,,8KO,75,62.5,CV,0,0,2,129,3,0,0,0,0,9999,999%,Fail
19,B1,A1,,CH5_R2,,8KO,25,75,CV,0,0,3,129,2,0,0,0,0,9999,999%,Fail
20,B1,A1,,CH5_R3,,8KO,75,62.5,CV,0,0,2,130,3,0,0,0,0,9999,999%,Fail
21,B1,A1,,CH5_R4,,8KO,25,75,CV,0,0,3,130,2,0,0,0,0,9999,999%,Fail
LogEnd,,,,,,,,,,,,,,,,,,,,,
